期权代码,交易日期,期权收盘价,期权交易量,期权交易额,期权名称,看涨看跌类型,执行价格,到期日,上市日期,退市日期,上证50ETF价格,上证50ETF日度收益率,无风险收益率（shibor),剩余到期时间（年）
10008323.SH,20241025,0.1019,3140.0,334.4226,华夏上证科创板50ETF期权2506认购1.25,C,1.25,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008322.SH,20241025,0.1122,1544.0,184.0677,华夏上证科创板50ETF期权2506认购1.20,C,1.2,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008321.SH,20241025,0.1211,362.0,43.828,华夏上证科创板50ETF期权2506认购1.15,C,1.15,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008320.SH,20241025,0.1306,233.0,34.681,华夏上证科创板50ETF期权2506认购1.10,C,1.1,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008319.SH,20241025,0.1444,184.0,28.8257,华夏上证科创板50ETF期权2506认购1.05,C,1.05,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008318.SH,20241025,0.1611,311.0,51.9924,华夏上证科创板50ETF期权2506认购1.00,C,1.0,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008317.SH,20241025,0.1943,51.0,10.4574,华夏上证科创板50ETF期权2506认购0.95,C,0.95,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008316.SH,20241025,0.219,414.0,88.474,华夏上证科创板50ETF期权2506认购0.90,C,0.9,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008315.SH,20241025,0.2417,331.0,80.4041,华夏上证科创板50ETF期权2506认购0.85,C,0.85,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008314.SH,20241025,1.0961,22.0,24.1372,南方中证500ETF期权2506认沽6.75,P,6.75,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008313.SH,20241025,0.923,1.0,0.923,南方中证500ETF期权2506认沽6.50,P,6.5,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008312.SH,20241025,0.7209,40.0,29.829,南方中证500ETF期权2506认沽6.25,P,6.25,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008311.SH,20241025,0.565,455.0,259.6496,南方中证500ETF期权2506认沽6.00,P,6.0,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008310.SH,20241025,0.4225,544.0,231.3879,南方中证500ETF期权2506认沽5.75,P,5.75,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008309.SH,20241025,0.3004,354.0,107.996,南方中证500ETF期权2506认沽5.50,P,5.5,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008308.SH,20241025,0.2058,428.0,90.8809,南方中证500ETF期权2506认沽5.25,P,5.25,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008307.SH,20241025,0.1314,729.0,99.2774,南方中证500ETF期权2506认沽5.00,P,5.0,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008306.SH,20241025,0.1106,758.0,87.4339,南方中证500ETF期权2506认沽4.90,P,4.9,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008305.SH,20241025,0.2454,887.0,207.0808,南方中证500ETF期权2506认购6.75,C,6.75,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008304.SH,20241025,0.2943,96.0,28.3874,南方中证500ETF期权2506认购6.50,C,6.5,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008303.SH,20241025,0.362,201.0,70.3994,南方中证500ETF期权2506认购6.25,C,6.25,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008302.SH,20241025,0.45,426.0,190.8371,南方中证500ETF期权2506认购6.00,C,6.0,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008301.SH,20241025,0.5383,289.0,158.7931,南方中证500ETF期权2506认购5.75,C,5.75,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008300.SH,20241025,0.6711,498.0,323.154,南方中证500ETF期权2506认购5.50,C,5.5,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008299.SH,20241025,0.8351,70.0,58.079,南方中证500ETF期权2506认购5.25,C,5.25,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008298.SH,20241025,1.0003,51.0,50.5725,南方中证500ETF期权2506认购5.00,C,5.0,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008297.SH,20241025,1.0963,21.0,22.5453,南方中证500ETF期权2506认购4.90,C,4.9,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008296.SH,20241025,0.594,34.0,20.3264,华泰柏瑞沪深300ETF期权2506认沽4.50,P,4.5,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008295.SH,20241025,0.5174,11.0,5.6683,华泰柏瑞沪深300ETF期权2506认沽4.40,P,4.4,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008294.SH,20241025,0.4496,21.0,9.4432,华泰柏瑞沪深300ETF期权2506认沽4.30,P,4.3,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008293.SH,20241025,0.3858,131.0,52.0477,华泰柏瑞沪深300ETF期权2506认沽4.20,P,4.2,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008292.SH,20241025,0.3249,105.0,35.3142,华泰柏瑞沪深300ETF期权2506认沽4.10,P,4.1,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008291.SH,20241025,0.2721,409.0,113.6106,华泰柏瑞沪深300ETF期权2506认沽4.00,P,4.0,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008290.SH,20241025,0.2241,265.0,60.2746,华泰柏瑞沪深300ETF期权2506认沽3.90,P,3.9,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008289.SH,20241025,0.1803,296.0,54.587,华泰柏瑞沪深300ETF期权2506认沽3.80,P,3.8,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008288.SH,20241025,0.1435,518.0,75.9091,华泰柏瑞沪深300ETF期权2506认沽3.70,P,3.7,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008287.SH,20241025,0.1962,605.0,116.4097,华泰柏瑞沪深300ETF期权2506认购4.50,C,4.5,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008286.SH,20241025,0.2179,404.0,87.3286,华泰柏瑞沪深300ETF期权2506认购4.40,C,4.4,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008285.SH,20241025,0.2479,445.0,110.8759,华泰柏瑞沪深300ETF期权2506认购4.30,C,4.3,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008284.SH,20241025,0.2813,312.0,87.3583,华泰柏瑞沪深300ETF期权2506认购4.20,C,4.2,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008283.SH,20241025,0.3196,133.0,43.6247,华泰柏瑞沪深300ETF期权2506认购4.10,C,4.1,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008282.SH,20241025,0.3608,250.0,91.6107,华泰柏瑞沪深300ETF期权2506认购4.00,C,4.0,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008281.SH,20241025,0.4113,252.0,104.9554,华泰柏瑞沪深300ETF期权2506认购3.90,C,3.9,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008280.SH,20241025,0.463,220.0,104.6177,华泰柏瑞沪深300ETF期权2506认购3.80,C,3.8,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008279.SH,20241025,0.5228,22.0,11.7024,华泰柏瑞沪深300ETF期权2506认购3.70,C,3.7,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008278.SH,20241025,0.3136,99.0,31.0239,华夏上证50ETF期权2506认沽3.00,P,3.0,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008277.SH,20241025,0.2804,10.0,2.7933,华夏上证50ETF期权2506认沽2.95,P,2.95,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008276.SH,20241025,0.2493,261.0,65.2407,华夏上证50ETF期权2506认沽2.90,P,2.9,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008275.SH,20241025,0.2232,360.0,78.331,华夏上证50ETF期权2506认沽2.85,P,2.85,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008274.SH,20241025,0.1922,1027.0,196.1068,华夏上证50ETF期权2506认沽2.80,P,2.8,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008273.SH,20241025,0.1629,594.0,98.3056,华夏上证50ETF期权2506认沽2.75,P,2.75,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008272.SH,20241025,0.1414,369.0,51.7238,华夏上证50ETF期权2506认沽2.70,P,2.7,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008271.SH,20241025,0.12,530.0,63.2402,华夏上证50ETF期权2506认沽2.65,P,2.65,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008270.SH,20241025,0.1006,953.0,94.3464,华夏上证50ETF期权2506认沽2.60,P,2.6,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008269.SH,20241025,0.1663,1118.0,187.7424,华夏上证50ETF期权2506认购3.00,C,3.0,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008268.SH,20241025,0.1851,652.0,114.7776,华夏上证50ETF期权2506认购2.95,C,2.95,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008267.SH,20241025,0.2004,690.0,134.2422,华夏上证50ETF期权2506认购2.90,C,2.9,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008266.SH,20241025,0.2202,791.0,169.3642,华夏上证50ETF期权2506认购2.85,C,2.85,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008265.SH,20241025,0.2385,404.0,97.7365,华夏上证50ETF期权2506认购2.80,C,2.8,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008264.SH,20241025,0.2616,140.0,36.5877,华夏上证50ETF期权2506认购2.75,C,2.75,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008263.SH,20241025,0.2865,132.0,37.3126,华夏上证50ETF期权2506认购2.70,C,2.7,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008262.SH,20241025,0.3153,166.0,51.5096,华夏上证50ETF期权2506认购2.65,C,2.65,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008261.SH,20241025,0.3437,161.0,56.898,华夏上证50ETF期权2506认购2.60,C,2.6,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008260.SH,20241025,0.362,398.0,139.6918,易方达上证科创板50ETF期权2503认沽1.30,P,1.3,2025-03-26,20241009,20250326,2.793,0.1434,1.947,0.41643835616438357
10008259.SH,20241025,0.3169,9.0,2.8289,易方达上证科创板50ETF期权2503认沽1.25,P,1.25,2025-03-26,20241009,20250326,2.793,0.1434,1.947,0.41643835616438357
10008258.SH,20241025,0.2686,54.0,14.506,易方达上证科创板50ETF期权2503认沽1.20,P,1.2,2025-03-26,20241009,20250326,2.793,0.1434,1.947,0.41643835616438357
10008257.SH,20241025,0.227,17.0,3.8848,易方达上证科创板50ETF期权2503认沽1.15,P,1.15,2025-03-26,20241009,20250326,2.793,0.1434,1.947,0.41643835616438357
10008256.SH,20241025,0.069,9508.0,687.9152,易方达上证科创板50ETF期权2503认购1.30,C,1.3,2025-03-26,20241009,20250326,2.793,0.1434,1.947,0.41643835616438357
10008255.SH,20241025,0.0768,1660.0,125.2259,易方达上证科创板50ETF期权2503认购1.25,C,1.25,2025-03-26,20241009,20250326,2.793,0.1434,1.947,0.41643835616438357
10008254.SH,20241025,0.0788,1035.0,86.166,易方达上证科创板50ETF期权2503认购1.20,C,1.2,2025-03-26,20241009,20250326,2.793,0.1434,1.947,0.41643835616438357
10008253.SH,20241025,0.0918,864.0,78.5339,易方达上证科创板50ETF期权2503认购1.15,C,1.15,2025-03-26,20241009,20250326,2.793,0.1434,1.947,0.41643835616438357
10008252.SH,20241025,0.3223,82.0,27.1297,易方达上证科创板50ETF期权2412认沽1.30,P,1.3,2024-12-25,20241009,20241225,2.793,0.1434,1.947,0.16712328767123288
10008251.SH,20241025,0.2777,13.0,3.6473,易方达上证科创板50ETF期权2412认沽1.25,P,1.25,2024-12-25,20241009,20241225,2.793,0.1434,1.947,0.16712328767123288
10008250.SH,20241025,0.2336,63.0,15.0475,易方达上证科创板50ETF期权2412认沽1.20,P,1.2,2024-12-25,20241009,20241225,2.793,0.1434,1.947,0.16712328767123288
10008249.SH,20241025,0.1908,126.0,24.3361,易方达上证科创板50ETF期权2412认沽1.15,P,1.15,2024-12-25,20241009,20241225,2.793,0.1434,1.947,0.16712328767123288
10008248.SH,20241025,0.0399,9283.0,383.7996,易方达上证科创板50ETF期权2412认购1.30,C,1.3,2024-12-25,20241009,20241225,2.793,0.1434,1.947,0.16712328767123288
10008247.SH,20241025,0.0432,4775.0,229.0335,易方达上证科创板50ETF期权2412认购1.25,C,1.25,2024-12-25,20241009,20241225,2.793,0.1434,1.947,0.16712328767123288
10008246.SH,20241025,0.0488,4272.0,232.8778,易方达上证科创板50ETF期权2412认购1.20,C,1.2,2024-12-25,20241009,20241225,2.793,0.1434,1.947,0.16712328767123288
10008245.SH,20241025,0.0559,1872.0,109.8703,易方达上证科创板50ETF期权2412认购1.15,C,1.15,2024-12-25,20241009,20241225,2.793,0.1434,1.947,0.16712328767123288
10008244.SH,20241025,0.3009,243.0,72.726,易方达上证科创板50ETF期权2411认沽1.30,P,1.3,2024-11-27,20241009,20241127,2.793,0.1434,1.947,0.09041095890410959
10008243.SH,20241025,0.2547,6.0,1.5679,易方达上证科创板50ETF期权2411认沽1.25,P,1.25,2024-11-27,20241009,20241127,2.793,0.1434,1.947,0.09041095890410959
10008242.SH,20241025,0.2092,37.0,7.955,易方达上证科创板50ETF期权2411认沽1.20,P,1.2,2024-11-27,20241009,20241127,2.793,0.1434,1.947,0.09041095890410959
10008241.SH,20241025,0.1684,158.0,27.125,易方达上证科创板50ETF期权2411认沽1.15,P,1.15,2024-11-27,20241009,20241127,2.793,0.1434,1.947,0.09041095890410959
10008240.SH,20241025,0.02,40437.0,973.0873,易方达上证科创板50ETF期权2411认购1.30,C,1.3,2024-11-27,20241009,20241127,2.793,0.1434,1.947,0.09041095890410959
10008239.SH,20241025,0.0233,9560.0,258.065,易方达上证科创板50ETF期权2411认购1.25,C,1.25,2024-11-27,20241009,20241127,2.793,0.1434,1.947,0.09041095890410959
10008238.SH,20241025,0.0263,13884.0,429.6414,易方达上证科创板50ETF期权2411认购1.20,C,1.2,2024-11-27,20241009,20241127,2.793,0.1434,1.947,0.09041095890410959
10008237.SH,20241025,0.0337,9446.0,365.8638,易方达上证科创板50ETF期权2411认购1.15,C,1.15,2024-11-27,20241009,20241127,2.793,0.1434,1.947,0.09041095890410959
10008228.SH,20241025,0.368,248.0,93.5999,华夏上证科创板50ETF期权2503认沽1.35,P,1.35,2025-03-26,20241009,20250326,2.793,0.1434,1.947,0.41643835616438357
10008227.SH,20241025,0.338,357.0,118.906,华夏上证科创板50ETF期权2503认沽1.30,P,1.3,2025-03-26,20241009,20250326,2.793,0.1434,1.947,0.41643835616438357
10008226.SH,20241025,0.2899,22.0,6.4168,华夏上证科创板50ETF期权2503认沽1.25,P,1.25,2025-03-26,20241009,20250326,2.793,0.1434,1.947,0.41643835616438357
10008225.SH,20241025,0.2537,141.0,35.855,华夏上证科创板50ETF期权2503认沽1.20,P,1.2,2025-03-26,20241009,20250326,2.793,0.1434,1.947,0.41643835616438357
10008224.SH,20241025,0.0706,19407.0,1403.8966,华夏上证科创板50ETF期权2503认购1.35,C,1.35,2025-03-26,20241009,20250326,2.793,0.1434,1.947,0.41643835616438357
10008223.SH,20241025,0.077,4934.0,385.3682,华夏上证科创板50ETF期权2503认购1.30,C,1.3,2025-03-26,20241009,20250326,2.793,0.1434,1.947,0.41643835616438357
10008222.SH,20241025,0.0822,1813.0,153.0195,华夏上证科创板50ETF期权2503认购1.25,C,1.25,2025-03-26,20241009,20250326,2.793,0.1434,1.947,0.41643835616438357
10008221.SH,20241025,0.0919,1588.0,149.6775,华夏上证科创板50ETF期权2503认购1.20,C,1.2,2025-03-26,20241009,20250326,2.793,0.1434,1.947,0.41643835616438357
10008220.SH,20241025,0.3417,109.0,37.8493,华夏上证科创板50ETF期权2412认沽1.35,P,1.35,2024-12-25,20241009,20241225,2.793,0.1434,1.947,0.16712328767123288
10008219.SH,20241025,0.2972,27.0,8.2602,华夏上证科创板50ETF期权2412认沽1.30,P,1.3,2024-12-25,20241009,20241225,2.793,0.1434,1.947,0.16712328767123288
10008218.SH,20241025,0.2527,74.0,19.0188,华夏上证科创板50ETF期权2412认沽1.25,P,1.25,2024-12-25,20241009,20241225,2.793,0.1434,1.947,0.16712328767123288
10008217.SH,20241025,0.2135,56.0,12.0783,华夏上证科创板50ETF期权2412认沽1.20,P,1.2,2024-12-25,20241009,20241225,2.793,0.1434,1.947,0.16712328767123288
10008216.SH,20241025,0.0369,24624.0,996.894,华夏上证科创板50ETF期权2412认购1.35,C,1.35,2024-12-25,20241009,20241225,2.793,0.1434,1.947,0.16712328767123288
10008215.SH,20241025,0.043,9455.0,429.4367,华夏上证科创板50ETF期权2412认购1.30,C,1.3,2024-12-25,20241009,20241225,2.793,0.1434,1.947,0.16712328767123288
10008214.SH,20241025,0.048,4416.0,228.2428,华夏上证科创板50ETF期权2412认购1.25,C,1.25,2024-12-25,20241009,20241225,2.793,0.1434,1.947,0.16712328767123288
10008213.SH,20241025,0.056,6593.0,375.681,华夏上证科创板50ETF期权2412认购1.20,C,1.2,2024-12-25,20241009,20241225,2.793,0.1434,1.947,0.16712328767123288
10008212.SH,20241025,0.3288,803.0,259.2722,华夏上证科创板50ETF期权2411认沽1.35,P,1.35,2024-11-27,20241009,20241127,2.793,0.1434,1.947,0.09041095890410959
10008211.SH,20241025,0.2832,157.0,44.1242,华夏上证科创板50ETF期权2411认沽1.30,P,1.3,2024-11-27,20241009,20241127,2.793,0.1434,1.947,0.09041095890410959
10008210.SH,20241025,0.2331,138.0,32.4154,华夏上证科创板50ETF期权2411认沽1.25,P,1.25,2024-11-27,20241009,20241127,2.793,0.1434,1.947,0.09041095890410959
10008209.SH,20241025,0.19,752.0,144.845,华夏上证科创板50ETF期权2411认沽1.20,P,1.2,2024-11-27,20241009,20241127,2.793,0.1434,1.947,0.09041095890410959
10008208.SH,20241025,0.0208,155325.0,3699.7669,华夏上证科创板50ETF期权2411认购1.35,C,1.35,2024-11-27,20241009,20241127,2.793,0.1434,1.947,0.09041095890410959
10008207.SH,20241025,0.0238,38430.0,1045.5746,华夏上证科创板50ETF期权2411认购1.30,C,1.3,2024-11-27,20241009,20241127,2.793,0.1434,1.947,0.09041095890410959
10008206.SH,20241025,0.0272,32799.0,1043.3851,华夏上证科创板50ETF期权2411认购1.25,C,1.25,2024-11-27,20241009,20241127,2.793,0.1434,1.947,0.09041095890410959
10008205.SH,20241025,0.0325,50853.0,1845.9947,华夏上证科创板50ETF期权2411认购1.20,C,1.2,2024-11-27,20241009,20241127,2.793,0.1434,1.947,0.09041095890410959
10008196.SH,20241025,1.547,0.0,0.0,南方中证500ETF期权2503认沽7.25,P,7.25,2025-03-26,20241009,20250326,2.793,0.1434,1.947,0.41643835616438357
10008195.SH,20241025,0.1147,5086.0,541.9908,南方中证500ETF期权2503认购7.25,C,7.25,2025-03-26,20241009,20250326,2.793,0.1434,1.947,0.41643835616438357
10008194.SH,20241025,1.405,11.0,15.503,南方中证500ETF期权2412认沽7.25,P,7.25,2024-12-25,20241009,20241225,2.793,0.1434,1.947,0.16712328767123288
10008193.SH,20241025,0.047,7897.0,377.6311,南方中证500ETF期权2412认购7.25,C,7.25,2024-12-25,20241009,20241225,2.793,0.1434,1.947,0.16712328767123288
10008192.SH,20241025,1.3642,130.0,180.6707,南方中证500ETF期权2411认沽7.25,P,7.25,2024-11-27,20241009,20241127,2.793,0.1434,1.947,0.09041095890410959
10008191.SH,20241025,0.023,99948.0,2439.8656,南方中证500ETF期权2411认购7.25,C,7.25,2024-11-27,20241009,20241127,2.793,0.1434,1.947,0.09041095890410959
10008188.SH,20241025,0.8106,61.0,48.612,华泰柏瑞沪深300ETF期权2503认沽4.80,P,4.8,2025-03-26,20241009,20250326,2.793,0.1434,1.947,0.41643835616438357
10008187.SH,20241025,0.738,0.0,0.0,华泰柏瑞沪深300ETF期权2503认沽4.70,P,4.7,2025-03-26,20241009,20250326,2.793,0.1434,1.947,0.41643835616438357
10008186.SH,20241025,0.0837,7125.0,581.119,华泰柏瑞沪深300ETF期权2503认购4.80,C,4.8,2025-03-26,20241009,20250326,2.793,0.1434,1.947,0.41643835616438357
10008185.SH,20241025,0.0943,1469.0,136.5695,华泰柏瑞沪深300ETF期权2503认购4.70,C,4.7,2025-03-26,20241009,20250326,2.793,0.1434,1.947,0.41643835616438357
10008184.SH,20241025,0.77,111.0,86.2223,华泰柏瑞沪深300ETF期权2412认沽4.80,P,4.8,2024-12-25,20241009,20241225,2.793,0.1434,1.947,0.16712328767123288
10008183.SH,20241025,0.6931,11.0,7.6831,华泰柏瑞沪深300ETF期权2412认沽4.70,P,4.7,2024-12-25,20241009,20241225,2.793,0.1434,1.947,0.16712328767123288
10008182.SH,20241025,0.0381,15138.0,614.1501,华泰柏瑞沪深300ETF期权2412认购4.80,C,4.8,2024-12-25,20241009,20241225,2.793,0.1434,1.947,0.16712328767123288
